Bundesland,Jahr,Gesamtstrom_GWh,Braunkohle_GWh,Braunkohle_Anteil_%
Bayern,2003,80141.0,616.0,0.7686452627244482
Bayern,2004,79431.0,5.0,0.0062947715627399885
Berlin,2003,9105.377,766.794,8.421331703234253
Berlin,2004,8586.096,808.486,9.416223624799908
Berlin,2005,9108.405,759.478,8.33821069660385
Berlin,2006,9143.523,676.023,7.393463110444411
Berlin,2007,8793.847,719.261,8.179139345954052
Berlin,2008,9037.186,708.531,7.840172814856306
Berlin,2009,8108.462,744.475,9.181457593314244
Berlin,2010,9108.159,787.829,8.649706268851915
Berlin,2011,8406.664,728.698,8.668099498207612
Berlin,2012,8120.677,745.353,9.178458889572877
Berlin,2013,8215.277,679.312,8.26888734244749
Berlin,2014,7816.537,689.179,8.816935172186865
Berlin,2015,7467.328,654.023,8.758460857752599
Berlin,2016,7777.547,685.708,8.816507312652691
Berlin,2017,7835.311,333.895,4.261413490798259
Brandenburg,2003,42961.014,34670.142,80.70140523219493
Brandenburg,2004,45199.455,35849.475,79.31395411736712
Brandenburg,2005,46156.224,35668.35,77.27744366610231
Brandenburg,2006,45409.923,33924.367,74.70694676139398
Brandenburg,2007,49773.822,35038.632,70.39570318710908
Brandenburg,2008,49010.615,34080.326,69.5366218114178
Brandenburg,2009,47016.921,31954.24,67.96327645529999
Brandenburg,2010,49276.844,32970.681,66.90907599520781
Brandenburg,2011,52505.058,34512.659,65.7320652802631
Brandenburg,2012,54756.541,35428.52,64.70189561462621
Brandenburg,2013,54354.296,35192.968,64.74735318069432
Brandenburg,2014,54352.792,33892.0,62.355582395840855
Brandenburg,2015,55458.468,33672.625,60.71683227888661
Brandenburg,2016,55068.717,33741.035,61.27078464530054
Brandenburg,2017,56720.601,32477.189,57.25818913660664
Brandenburg,2018,57654.91,33069.371,57.35742367822618
Brandenburg,2019,53048.631,26681.385,50.29608586883231
Brandenburg,2020,48524.12,22278.057,45.91130555278488
Brandenburg,2021,50080.58,25191.398,50.30172973236332
Brandenburg,2022,49435.768,22661.068,45.83941732229183
Hessen,1990,24481.0,738.0,3.014582737633267
Hessen,1991,21901.0,473.0,2.15971873430437
Hessen,1992,25395.0,153.0,0.6024808033077377
Hessen,1993,28433.0,150.0,0.527556008862941
Hessen,1994,29743.0,142.0,0.4774232592542783
Hessen,1995,24128.0,155.0,0.6424071618037135
Hessen,1996,25642.0,167.0,0.6512752515404414
